"Location: 51.8992, -2.1288"
"Date: 2023-09-05"
"Model: clear-sky"
"TZ: GMT+1"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2023-09-05T15:30:00.000Z,488.524,1009.896,0.000,655.546,2.061,28.930
2023-09-05T15:40:00.000Z,461.232,996.839,0.000,612.327,2.154,27.561
2023-09-05T15:50:00.000Z,433.129,982.261,0.000,567.993,2.259,26.165
2023-09-05T16:00:00.000Z,404.291,965.940,0.000,522.707,2.379,24.743
2023-09-05T16:10:00.000Z,374.803,947.610,0.000,476.648,2.516,23.299
2023-09-05T16:20:00.000Z,348.474,926.946,3.715,434.190,2.673,21.835
2023-09-05T16:30:00.000Z,322.305,903.550,8.045,391.874,2.856,20.353
2023-09-05T16:40:00.000Z,295.659,876.933,12.236,349.077,3.069,18.856
2023-09-05T16:50:00.000Z,268.599,846.482,16.216,306.007,3.322,17.347
2023-09-05T17:00:00.000Z,241.196,811.432,19.900,262.925,3.624,15.826
2023-09-05T17:10:00.000Z,213.527,770.816,23.174,220.164,3.991,14.297
2023-09-05T17:20:00.000Z,185.682,723.413,25.890,178.160,4.444,12.761
2023-09-05T17:30:00.000Z,157.769,667.689,27.848,137.512,5.016,11.220
2023-09-05T17:40:00.000Z,129.924,601.748,28.779,99.054,5.759,9.677
2023-09-05T17:50:00.000Z,102.340,523.377,28.310,63.969,6.756,8.132
2023-09-05T18:00:00.000Z,75.315,430.387,25.941,33.918,8.153,6.587
2023-09-05T18:10:00.000Z,49.375,321.843,21.068,14.853,10.229,5.046
2023-09-05T18:20:00.000Z,25.620,201.689,13.278,10.106,13.567,3.508
2023-09-05T18:30:00.000Z,6.850,87.206,3.841,3.166,19.556,1.977
2023-09-05T18:40:00.000Z,0.123,15.514,0.000,0.005,31.889,0.454
2023-09-05T18:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T19:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T19:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T19:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T19:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T19:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T19:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T20:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T20:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T20:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T20:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T20:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T20:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T21:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T21:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T21:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T21:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T21:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T21:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2023-09-05T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
