51.14,-4.2
52.82,-4.04
52.94,-4.52
53.26,0.32
53.38,-4.56
53.74,0.0
54.46,-5.44
54.9,-4.32
54.98,-3.76
54.9,-1.6
55.5,-1.6
56.62,-6.6
56.82,-5.76
57.62,-5.6
58.1,-7.04
58.02,-6.4
58.26,-3.68
58.34,-3.2
50.94,0.96
51.66,-5.0
54.38,-0.6
55.18,-6.96
55.46,-5.68
56.86,-2.24
56.98,-6.4
57.06,-6.0
57.26,-7.4
57.46,-2.08
57.46,-5.52
57.54,-3.76
58.54,-3.92
50.22,-5.4
50.34,-3.96
50.5,-3.52
51.14,1.36
52.94,0.52
53.3,-3.76
53.46,0.16
54.18,-2.92
54.74,-3.36
55.86,-5.28
55.54,-2.0
56.1,-5.04
55.86,-3.36
56.54,-5.6
57.22,-5.52
58.42,-4.96
50.34,-4.8
50.66,-2.32
50.82,-1.08
50.9,-4.52
51.34,-2.96
51.34,1.0
51.62,-3.96
51.78,-4.44
52.58,-4.08
53.06,0.2
53.26,-3.56
54.66,-3.44
54.7,-1.24
55.18,-4.92
54.9,-7.08
55.18,-6.52
55.3,-1.68
56.02,-4.72
56.06,-2.72
56.26,-2.64
57.14,-2.24
57.78,-5.12
58.26,-6.56
58.14,-5.12
58.42,-6.44
50.82,-0.84
51.34,1.2
51.98,-4.96
52.9,-4.36
54.78,-4.0
56.5,-5.92
56.98,-5.84
57.58,-6.2
57.58,-3.96
58.3,-6.68
50.66,-1.44
53.66,0.0
53.94,-2.96
54.74,-6.08
57.46,-3.68
57.54,-1.8
58.54,-3.72
55.22,-6.32
55.5,-5.64
56.3,-5.24
57.26,-6.08
57.98,-6.56
58.06,-4.12
50.98,0.84
51.18,-4.0
51.18,-3.68
51.46,-3.32
51.62,0.84
52.78,1.44
56.34,-3.04
56.54,-2.68
58.14,-3.64
58.3,-3.32
50.14,-5.4
53.22,-4.36
55.06,-3.76
55.22,-4.72
56.1,-5.16
56.18,-4.72
56.18,-3.12
58.42,-3.6
50.98,0.72
51.38,0.72
53.34,-3.36
53.38,-3.12
54.18,-6.32
54.34,-6.8
54.62,-5.6
54.86,-1.4
55.98,-3.32
56.58,-6.16
57.5,-6.72
50.14,-5.48
50.82,-1.56
50.7,-1.32
50.82,-1.72
54.34,-0.44
55.74,-2.4
56.7,-5.6
56.86,-2.72
58.46,-3.84
58.58,-3.24
50.82,-3.04
50.82,-1.92
51.62,0.48
51.62,0.64
51.7,-2.44
52.22,-4.24
53.34,-4.24
53.66,-2.96
54.18,-6.24
54.34,-5.76
56.3,-3.16
56.66,-5.2
57.3,-5.52
57.62,-3.12
57.62,-2.64
57.62,-2.48
57.62,-2.32
57.78,-4.24
57.78,-4.08
50.62,-4.76
50.82,-1.96
51.74,-4.12
52.06,-4.76
52.82,0.12
53.34,-2.84
53.62,-0.2
54.46,-7.0
54.98,-4.56
55.94,-3.76
57.38,-4.4
57.54,-3.12
57.54,-2.32
50.26,-4.88
